epoch train test
0.000 5.077 5.052
1.000 10.387 11.156
2.000 21.413 22.652
3.000 25.884 27.689
4.000 31.235 33.970
5.000 34.661 37.941
6.000 33.967 36.711
7.000 39.942 43.526
8.000 38.124 41.541
9.000 41.380 45.689
10.000 42.154 45.704
11.000 44.199 49.274
12.000 48.813 52.430
13.000 49.886 53.807
14.000 52.821 56.889
15.000 51.215 55.037
16.000 50.017 54.252
17.000 55.686 59.570
18.000 57.662 61.556
19.000 55.113 58.504
20.000 53.362 57.570
21.000 56.330 60.104
22.000 54.144 58.133
23.000 55.700 59.985
24.000 57.361 61.156
25.000 58.227 62.207
26.000 56.360 60.459
27.000 58.338 61.822
28.000 56.399 60.607
29.000 59.975 64.000
30.000 74.473 77.259
31.000 75.814 78.000
32.000 76.788 78.489
33.000 77.111 78.681
34.000 77.761 78.933
35.000 78.188 79.289
36.000 78.437 79.481
37.000 78.715 79.570
38.000 78.896 79.437
39.000 79.728 79.748
40.000 79.582 79.941
41.000 79.094 79.200
42.000 79.787 79.793
43.000 78.499 78.593
44.000 78.430 78.741
45.000 79.388 79.022
46.000 79.855 79.467
47.000 79.394 79.496
48.000 79.430 78.844
49.000 80.549 80.044
50.000 80.944 79.733
51.000 79.428 78.889
52.000 80.335 79.185
53.000 79.790 79.259
54.000 80.957 80.089
55.000 80.550 79.867
56.000 80.707 79.570
57.000 80.754 79.156
58.000 80.166 78.874
59.000 80.560 80.059
60.000 85.623 83.215
61.000 86.212 83.452
62.000 86.459 83.393
63.000 86.914 83.304
64.000 87.113 84.104
65.000 87.342 83.452
66.000 87.428 83.733
67.000 87.603 83.659
68.000 87.724 83.837
69.000 87.883 83.881
70.000 87.881 83.733
71.000 88.276 84.119
72.000 88.330 83.644
73.000 88.344 84.148
74.000 88.620 83.822
75.000 88.692 83.733
76.000 88.773 83.970
77.000 88.867 83.807
78.000 88.868 83.970
79.000 88.998 84.000
80.000 89.187 83.719
81.000 89.130 84.341
82.000 89.378 83.970
83.000 89.404 83.778
84.000 89.370 84.074
85.000 89.414 84.163
86.000 89.484 83.659
87.000 89.574 84.074
88.000 89.717 83.970
89.000 89.778 84.163
90.000 89.953 84.222
91.000 90.134 84.237
92.000 90.101 84.163
93.000 90.368 84.267
94.000 90.419 84.207
95.000 90.278 84.281
96.000 90.432 84.444
97.000 90.365 84.207
98.000 90.465 84.296
99.000 90.441 84.074
100.000 90.526 84.356
101.000 90.491 84.237
102.000 90.505 84.415
103.000 90.382 84.489
104.000 90.387 84.133
105.000 90.583 84.119
106.000 90.546 84.326
107.000 90.474 84.415
108.000 90.629 84.296
109.000 90.587 84.385
110.000 90.632 84.222
111.000 90.635 84.430
112.000 90.598 84.281
113.000 90.721 84.178
114.000 90.584 84.119
115.000 90.512 84.356
116.000 90.761 84.459
117.000 90.671 84.444
118.000 90.605 84.044
119.000 90.634 84.267
120.000 90.755 84.385
121.000 90.971 84.385
122.000 90.736 84.267
123.000 90.844 84.356
124.000 90.794 84.400
125.000 90.896 84.178
126.000 90.907 84.444
127.000 90.906 84.356
128.000 90.850 84.059
129.000 90.844 84.415
130.000 90.818 84.533
131.000 90.852 84.311
132.000 90.875 84.311
133.000 90.995 84.504
134.000 91.011 84.637
135.000 90.933 84.430
136.000 90.745 84.430
137.000 91.005 84.207
138.000 90.974 84.489
139.000 91.107 84.400
140.000 90.866 84.267
141.000 91.017 84.385
142.000 91.060 84.193
143.000 91.213 84.356
144.000 90.935 84.356
145.000 91.013 84.607
146.000 91.050 84.578
147.000 91.014 84.296
148.000 91.033 84.548
149.000 91.052 84.459
